,,,,,,,A850i,B850i,A850ii  ,B850ii  ,refletance1(850)=i850-ambient/(8741*(A850i*255+B850i));,,,,,,,
Experiment data,9/10/2019,9:58:52,,,,,956,-142000,864,-146000,,,,,,,,
,,,,,,,,,,,,,,,,,,
Collected Light Intensity,,,,,,,,,,,,,,,,,,
Intensity:,239,217,192,252,255,225,194,255,,,,,,,,,,
Integration time: ,6456,,,,,,,,,,,,,,K8/($B$6*($H$2*$E$5+$I$2)),L8/($B$6*($J$2*$I$5+$K$2)),,
Wavelength,i690,i750,i800,i850,ii690,ii750,ii800,ii850,Ambient,,,i850-Ambient,ii850-Ambient,pixel,reflectance1,reflectance2,absorption1,absorption2
 ,3558,3579,3506,3171,16307,31717,31141,22290,787,19078,,2384,21503,107,3.73331E-06,4.48157E-05,,
 ,3509,3505,3475,3126,16797,32711,32206,23090,787,19519,,2339,22303,108,3.66284E-06,4.6483E-05,,
 ,3495,3506,3447,3052,17259,33722,33152,23794,811,19943,,2241,22983,109,3.50937E-06,4.79002E-05,,
 ,3408,3410,3330,3020,17838,34779,34228,24541,765,20481,,2255,23776,110,3.5313E-06,4.9553E-05,,
 ,3307,3322,3327,2959,18498,35944,35521,25539,808,20997,,2151,24731,111,3.36843E-06,5.15433E-05,,
 ,3295,3249,3238,2897,19013,36994,36474,26271,776,21532,,2121,25495,112,3.32145E-06,5.31356E-05,,
 ,3234,3236,3185,2867,19606,38180,37674,27151,796,22044,,2071,26355,113,3.24315E-06,5.4928E-05,,
 ,3234,3182,3103,2809,20210,39375,38904,28020,796,22648,,2013,27224,114,3.15233E-06,5.67391E-05,,
 ,3069,3110,3084,2752,20774,40590,40100,29037,806,23037,,1946,28231,115,3.04741E-06,5.88379E-05,,
 ,3143,3083,3078,2751,21559,41968,41328,30007,803,23899,,1948,29204,116,3.05054E-06,6.08658E-05,,
 ,3048,3039,2976,2685,22223,43300,42819,31089,793,24478,,1892,30296,117,2.96284E-06,6.31417E-05,,
 ,2982,2991,2971,2659,22853,44706,44088,32051,804,25031,,1855,31247,118,2.9049E-06,6.51237E-05,,
 ,2938,2941,2944,2608,23639,46033,45599,33204,816,25761,,1792,32388,119,2.80624E-06,6.75017E-05,,
 ,2924,2903,2851,2590,24324,47495,47002,34234,789,26459,,1801,33445,120,2.82034E-06,6.97047E-05,,
 ,2847,2874,2857,2541,25142,49119,48386,35473,774,27215,,1767,34699,121,2.76709E-06,7.23182E-05,,
 ,2754,2804,2777,2496,25969,50684,49909,36566,792,27931,,1704,35774,122,2.66844E-06,7.45587E-05,,
 ,2749,2741,2757,2435,26800,52245,51406,38017,786,28763,,1649,37231,123,2.58231E-06,7.75953E-05,,
 ,2725,2718,2733,2425,27658,53849,53149,39159,801,29582,,1624,38358,124,2.54316E-06,7.99442E-05,,
 ,2652,2657,2626,2363,28567,55354,54767,40401,827,30392,,1536,39574,125,2.40535E-06,8.24785E-05,,
 ,2617,2658,2594,2350,29587,56711,56682,41578,804,31400,,1546,40774,126,2.42101E-06,8.49795E-05,,
 ,2568,2565,2608,2291,30370,58460,58265,42833,786,32152,,1505,42047,127,2.35681E-06,8.76326E-05,,
 ,2561,2560,2542,2244,31357,60134,59962,44041,800,33118,,1444,43241,128,2.26128E-06,9.01211E-05,,
Reference Light Intensity,,,,,,,,,,,,,,,,,,
Wavelength,i690,i750,i800,i850,ii690,ii750,ii800,ii850,Ambient,,,,,,,,,
 ,64685,64196,64725,62234,1986,2834,2848,2135,917,,,,,,,,,
 ,61771,61567,61772,60189,1997,2831,2883,2161,915,,,,,,,,,
 ,59528,59534,59487,58334,2010,2877,2955,2243,940,,,,,,,,,
 ,57641,58002,57566,56671,2077,2937,2991,2245,931,,,,,,,,,
 ,55676,55858,55658,54807,2073,2975,2977,2269,925,,,,,,,,,
 ,53858,54071,53745,52751,2060,3055,3058,2336,939,,,,,,,,,
 ,52113,52344,51959,51026,2163,3062,3103,2320,931,,,,,,,,,
 ,50412,50627,50201,49261,2157,3105,3116,2363,933,,,,,,,,,
 ,48723,48731,48410,47455,2215,3167,3201,2379,924,,,,,,,,,
 ,47008,47247,46893,45795,2207,3207,3197,2395,910,,,,,,,,,
 ,45503,45822,45176,44358,2269,3283,3298,2437,944,,,,,,,,,
 ,43974,44069,43682,42679,2262,3291,3345,2439,921,,,,,,,,,
 ,42507,42565,42249,41010,2271,3318,3374,2525,931,,,,,,,,,
 ,41050,41154,40727,39621,2306,3392,3446,2518,944,,,,,,,,,
 ,39864,39894,39308,38378,2370,3446,3484,2589,959,,,,,,,,,
 ,38509,38587,37959,36954,2342,3534,3528,2599,928,,,,,,,,,
 ,37161,37372,36701,35597,2408,3553,3584,2660,921,,,,,,,,,
 ,35954,36089,35464,34569,2435,3642,3627,2665,929,,,,,,,,,
 ,34800,35035,34343,33354,2463,3691,3680,2773,925,,,,,,,,,
 ,33619,33859,33155,32126,2498,3744,3801,2769,920,,,,,,,,,
 ,32670,32866,32132,31183,2527,3860,3864,2830,929,,,,,,,,,
 ,31512,31810,31024,29995,2600,3866,3890,2850,938,,,,,,,,,
 ,30622,30702,29992,28937,2615,3980,3973,2917,928,,,,,,,,,
 ,29618,29775,29027,27997,2665,4054,4011,2989,926,,,,,,,,,
 ,28710,28790,28164,27048,2722,4094,4090,3005,928,,,,,,,,,
 ,27809,27967,27199,26204,2757,4154,4145,3086,923,,,,,,,,,
 ,26909,27044,26252,25261,2766,4239,4212,3074,937,,,,,,,,,
 ,26078,26197,25424,24379,2830,4273,4354,3189,943,,,,,,,,,
 ,25430,25509,24585,23743,2845,4455,4386,3247,932,,,,,,,,,
 ,24586,24793,23851,23084,2926,4536,4489,3316,939,,,,,,,,,
 ,23747,23847,23011,22154,2958,4567,4535,3332,928,,,,,,,,,
 ,23086,23090,22418,21494,2954,4658,4616,3414,944,,,,,,,,,
 ,22369,22410,21744,20760,3078,4726,4745,3469,923,,,,,,,,,
 ,21606,21676,21021,20086,3090,4804,4774,3498,972,,,,,,,,,
 ,21190,21264,20483,19590,3147,4939,4934,3608,919,,,,,,,,,
 ,20489,20520,19859,18841,3175,4996,4987,3655,935,,,,,,,,,
 ,19936,19974,19281,18324,3298,5127,5126,3725,938,,,,,,,,,
 ,19371,19394,18593,17823,3327,5251,5162,3813,960,,,,,,,,,
 ,19237,19120,18185,17601,3451,5452,5308,3965,920,,,,,,,,,
 ,18194,18174,17605,16589,3394,5406,5392,3952,947,,,,,,,,,
 ,17675,17687,17082,16207,3458,5527,5457,4018,938,,,,,,,,,
 ,17209,17202,16584,15593,3559,5649,5618,4113,968,,,,,,,,,
 ,16694,16699,16120,15112,3633,5768,5726,4203,896,,,,,,,,,
 ,16171,16218,15661,14650,3699,5910,5886,4316,954,,,,,,,,,
 ,15738,15776,15184,14297,3780,6022,6012,4357,934,,,,,,,,,
 ,15353,15340,14801,13880,3798,6115,6134,4464,947,,,,,,,,,
 ,15000,14914,14363,13453,3943,6278,6275,4587,934,,,,,,,,,
 ,14474,14464,13958,12971,3960,6411,6424,4682,927,,,,,,,,,
 ,14114,14194,13571,12716,4090,6576,6526,4848,920,,,,,,,,,
 ,13734,13819,13240,12380,4149,6777,6671,4879,982,,,,,,,,,
 ,13446,13348,12871,12012,4225,6842,6825,4993,946,,,,,,,,,
 ,13107,13059,12619,11689,4300,6984,7032,5134,902,,,,,,,,,
 ,12769,12653,12301,11378,4407,7197,7231,5254,943,,,,,,,,,
 ,12425,12395,11874,10973,4559,7380,7396,5370,945,,,,,,,,,
 ,12090,12050,11595,10745,4606,7593,7517,5578,942,,,,,,,,,
 ,11805,11747,11297,10494,4710,7770,7705,5688,934,,,,,,,,,
 ,11578,11470,11063,10258,4849,7963,7934,5794,938,,,,,,,,,
 ,11292,11183,10782,9942,4928,8179,8168,5958,950,,,,,,,,,
 ,10919,10897,10499,9677,5052,8354,8339,6123,942,,,,,,,,,
 ,10696,10618,10236,9454,5190,8599,8618,6253,941,,,,,,,,,
 ,10448,10352,10051,9200,5229,8781,8816,6448,931,,,,,,,,,
 ,10123,10199,9807,8985,5407,9042,9030,6614,957,,,,,,,,,
 ,10054,10045,9510,8829,5562,9369,9239,6811,948,,,,,,,,,
 ,9753,9716,9359,8530,5662,9522,9531,6958,960,,,,,,,,,
 ,9442,9382,9091,8340,5832,9773,9733,7105,999,,,,,,,,,
 ,9253,9211,8893,8149,5987,9969,10030,7299,909,,,,,,,,,
 ,9087,8982,8673,7910,6092,10274,10223,7440,946,,,,,,,,,
 ,8953,8811,8462,7760,6272,10510,10510,7679,934,,,,,,,,,
 ,8678,8622,8326,7553,6390,10793,10762,7875,946,,,,,,,,,
 ,8486,8367,8064,7346,6515,11072,11052,8101,926,,,,,,,,,
 ,8308,8195,7895,7181,6722,11434,11319,8322,932,,,,,,,,,
 ,8138,8023,7726,7056,6846,11618,11702,8567,965,,,,,,,,,
 ,7971,7849,7625,6875,7036,11950,11957,8759,945,,,,,,,,,
 ,7808,7670,7392,6665,7229,12264,12340,8952,957,,,,,,,,,
 ,7647,7527,7252,6572,7354,12594,12623,9307,968,,,,,,,,,
 ,7408,7351,7110,6401,7579,12928,12977,9489,949,,,,,,,,,
 ,7221,7137,6960,6243,7822,13354,13323,9701,962,,,,,,,,,
 ,7117,7009,6740,6135,7937,13727,13672,10054,966,,,,,,,,,
 ,6969,6851,6634,6004,8178,14083,14047,10281,922,,,,,,,,,
 ,6833,6713,6494,5852,8364,14407,14446,10579,980,,,,,,,,,
 ,6654,6597,6345,5753,8609,14834,14792,10885,969,,,,,,,,,
 ,6562,6449,6201,5644,8790,15222,15227,11256,944,,,,,,,,,
 ,6403,6338,6041,5493,9055,15685,15657,11583,971,,,,,,,,,
 ,6228,6166,5921,5426,9247,16127,16034,12054,960,,,,,,,,,
 ,6183,6128,5828,5310,9576,16666,16566,12294,971,,,,,,,,,
 ,6062,5923,5700,5161,9783,17115,17082,12697,984,,,,,,,,,
 ,5882,5834,5565,5044,10061,17471,17477,12976,949,,,,,,,,,
 ,5821,5709,5510,4942,10382,18038,17981,13422,952,,,,,,,,,
 ,5699,5591,5399,4863,10652,18675,18540,13907,980,,,,,,,,,
 ,5583,5479,5300,4803,10986,19218,19125,14408,965,,,,,,,,,
 ,5442,5397,5200,4702,11253,19747,19642,14707,986,,,,,,,,,
 ,5393,5241,5113,4581,11573,20326,20275,15142,957,,,,,,,,,
 ,5276,5193,4958,4521,12005,20980,20833,15664,947,,,,,,,,,
 ,5175,5041,4868,4406,12210,21449,21426,16076,986,,,,,,,,,
 ,5065,4965,4741,4340,12546,22178,22068,16619,953,,,,,,,,,
 ,4930,4905,4731,4237,12905,22867,22740,17125,981,,,,,,,,,
 ,4879,4740,4602,4141,13327,23485,23369,17735,985,,,,,,,,,
 ,4780,4732,4557,4085,13833,24386,24231,18430,990,,,,,,,,,
 ,4736,4639,4471,4118,14177,25199,25013,19018,988,,,,,,,,,
 ,4578,4512,4410,3923,14518,25784,25679,19484,977,,,,,,,,,
 ,4484,4413,4318,3866,15001,26488,26518,20070,957,,,,,,,,,
 ,4386,4332,4198,3763,15430,27222,27228,20784,968,,,,,,,,,
 ,4306,4281,4137,3729,15850,28269,28132,21411,983,,,,,,,,,
 ,4217,4222,4035,3645,16362,29138,29058,22115,965,,,,,,,,,
 ,4162,4088,4008,3578,16959,29906,30054,22728,953,,,,,,,,,
 ,4109,3998,3913,3492,17430,30921,31106,23629,969,,,,,,,,,
 ,4055,4010,3866,3489,18054,32047,32050,24544,1010,,,,,,,,,
 ,4041,3956,3775,3406,18604,33233,33098,25497,976,,,,,,,,,
 ,3935,3840,3786,3370,19286,34255,34136,26321,951,,,,,,,,,
 ,3847,3799,3681,3266,19838,35426,35427,27191,978,,,,,,,,,
 ,3808,3746,3627,3288,20592,36694,36693,28269,972,,,,,,,,,
 ,3774,3716,3583,3197,21135,37790,37753,29132,1003,,,,,,,,,
 ,3706,3594,3520,3142,21858,38997,39004,30128,969,,,,,,,,,
 ,3611,3568,3413,3113,22654,40240,40449,31214,972,,,,,,,,,
 ,3521,3535,3376,3031,23358,41606,41786,32274,1007,,,,,,,,,
 ,3505,3483,3344,3044,24211,42969,43095,33606,987,,,,,,,,,
 ,3489,3448,3318,2997,24905,44587,44657,34815,992,,,,,,,,,
 ,3399,3327,3276,2960,25771,46050,46111,35985,995,,,,,,,,,
 ,3348,3318,3225,2915,26691,47514,47639,37196,993,,,,,,,,,
 ,3304,3243,3209,2853,27464,49000,49531,38528,984,,,,,,,,,
 ,3298,3252,3151,2772,28497,50602,51118,39863,1020,,,,,,,,,
 ,3190,3185,3084,2766,29430,52445,52681,41357,995,,,,,,,,,
 ,3152,3144,3021,2744,30426,54285,54485,42999,988,,,,,,,,,
 ,3112,3092,2995,2713,31406,55819,56294,44322,985,,,,,,,,,
 ,3085,3063,2976,2656,32433,57657,58080,45773,996,,,,,,,,,
 ,3036,2989,2906,2596,33518,59340,60008,47137,981,,,,,,,,,
 ,2955,2981,2812,2546,34712,61175,62368,48697,1025,,,,,,,,,
 ,2937,2873,2864,2592,35732,63631,64744,50235,980,,,,,,,,,
Auto Calibration: False,,,,,,,,,,,,,,,,,,
